Names,Village,Monthly Income,Family Members,Connected to grid,Why not connected to grid?,Electricity available per day(in hrs),Electrical appliances,Mobile Charger(Wh),5W LED Torch,10W LED Torch,5W LED Bulb(Wh),10W LED Bulb(Wh),45W Fan(Wh),55W TV(Wh),130W Fridge(Wh),Source of fuel for  cooking,Electric meter,Electric bill of last month,Power cuts per week,Voltage problems if any,Worst months for service from the grid,Household members affected,Serious problems you experience with grid electricity,How often you pay for electricity bill,Who do you pay,How do you make your payment,Household members die because of the grid electricity,Solar devices,Why no Solar?,Solar Usage (Months),Cost of Solar,Savings after installing a solar light,Willing to shift to solar applicanes,Rechargeable batteries,Use of batteries,Cost of rechargeable battery,Electricity source to recharge the battery,Did you use KEROSENE/FUEL-BASED /CANDLE LIGHTING,Fuel source for LAMP,How often the [FUEL TYPE] available,How many months does it rain,Maximum temperature in Summer,Minimum temperature in Winter,Why no solar?,Capacity(Wh),Units Monthly,Capacity Tier,Availabilty Tier,Reliability Tier,Quality Tier,Affordability Tier,Legality Tier,Health & Safety Tier,Tier Ranking
Joanne Council,Village 3,3357,2,Yes,Already Connected,4,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,16,Long Power Cuts,"['January', 'September', 'March']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Appliances,836,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,5,5,1
Melanie Talbert,Village 4,4841,2,No,Can't afford electricity bill,5,3,15,10,0,20,0,0,0,0,LPG,No,123.68906,20,Fluctuations,"['September', 'March', 'November']","['Children could not study', 'Could not cook']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1328,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,3,5,1
Mary Mackson,Village 2,3663,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,LPG,Yes,123.68906,4,Electrical applicances getting affected,"['May', 'February', 'August']","['Machines/appliances were damaged', 'Could not operate a household business']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,590,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,3,2,5,3,0
Edith Lewis,Village 3,3529,3,Yes,Already Connected,4,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,16,Fluctuations,"['September', 'February', 'June']","['Could not operate a household business', 'Could not charge a phone']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Weekly,Community/village/municipality,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1484,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,5,5,1
Mario Mchone,Village 2,3556,3,Yes,Already Connected,3,4,10,5,0,10,20,0,0,0,LPG,Yes,123.68906,4,No Problem,"['September', 'August', 'October']","['Could not operate a household business', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,Pre-paid meter card seller,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,503,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,0,4,5,2,5,3,0
Maggie Williams,Village 4,9359,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,Kerosene,Yes,203.99702,20,Long Power Cuts,"['October', 'September', 'November']","['Could not cook', 'Machines/appliances were damaged']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Weekly,Community/village/municipality,Cash,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1825,Grid,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,5,5,3,2
Marsha Bush,Village 2,13683,8,Yes,Already Connected,3,9,10,0,20,20,20,90,110,390,Kerosene,Yes,228.77288,4,No Problem,"['December', 'January', 'October']","['Children could not study', 'Could not operate a household business']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,Yes,Yes,Already using,6-12 months,1466,969,Already using,Yes,Lighting,1450,Solar,No,Biogas,Always available,4,42,10,Initial investment is high,660,19.8,2,0,4,5,5,5,3,0
Rachael Sheldon,Village 3,4145,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1861,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Franklin Osteen,Village 4,8935,4,No,Can't afford electricity bill,5,5,15,0,20,20,40,180,0,0,LPG,No,162.9887,20,Electrical applicances getting affected,"['May', 'November', 'April']","['Could not charge a phone', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1935,Shop,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,5,3,5,2
Betty Lane,Village 4,5171,6,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,Electrical applicances getting affected,"['March', 'January', 'October']","['Could not operate a household business', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Lighting,382,Shop,Yes,NA,NA,4,42,10,No subsidies are provided,515,15.45,2,2,3,3,2,5,5,2
Dianne Maxwell,Village 3,3118,2,Yes,Already Connected,4,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,16,No Problem,"['June', 'December', 'November']","['Children could not study', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1525,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,5,3,1
David Youmans,Village 2,8392,4,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,Fluctuations,"['March', 'February', 'September']","['Could not operate a household business', 'Could not cook']","['Unexpectedly high bills', 'Maintenance/service problems']",Weekly,Pre-paid meter card seller,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,833,Grid,No,Kerosene,Always available,4,42,10,Initial investment is high,140,4.2,1,0,4,3,5,5,3,0
Alison Pflieger,Village 3,4489,3,No,Can't afford electricity bill,4,4,15,10,0,20,40,0,0,0,LPG,No,130.52378,16,Long Power Cuts,"['April', 'February', 'September']","['Could not operate a household business', 'Could not charge a phone']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,931,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,3,2,3,5,1
Mary Fisher,Village 3,14456,7,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,1-3 months,1805,793,Already using,Yes,Appliances,381,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Ben Ferguson,Village 4,13511,7,Yes,Already Connected,5,7,15,0,20,40,40,180,220,0,LPG,Yes,203.99702,20,No Problem,"['February', 'October', 'January']","['Could not cook', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Cash,Yes,Yes,Already using,3-6 months,1997,1272,Already using,Yes,Lighting,1458,Solar,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,515,15.45,2,2,3,5,5,5,3,2
Kathy Borthwick,Village 4,11412,8,Yes,Already Connected,5,9,15,0,40,40,40,180,220,650,LPG,Yes,318.47858,20,Long Power Cuts,"['August', 'November', 'June']","['Could not cook', 'Could not operate a household business']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,662,Shop,No,Diesel,Sometimes available,4,42,10,Initial investment is high,1185,35.55,3,2,3,3,5,5,5,2
Jeff Melendez,Village 4,10144,8,No,Can't afford electricity bill,5,9,15,0,40,40,40,180,220,650,LPG,No,318.47858,20,Electrical applicances getting affected,"['March', 'June', 'December']","['Machines/appliances were damaged', 'Could not cook']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1442,Shop,No,Kerosene,Sometimes available,4,42,10,Initial investment is high,1185,35.55,3,2,3,3,5,3,3,2
Ralph Moore,Village 2,8560,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Fluctuations,"['April', 'March', 'August']","['Could not charge a phone', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,789,Shop,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Paul Uribe,Village 3,7983,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Long Power Cuts,"['November', 'February', 'September']","['Could not charge a phone', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Community/village/municipality,Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1782,Grid,No,Diesel,Sometimes available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
Norma Dawson,Village 2,7110,5,No,Connection cost is very high,3,5,10,0,10,10,20,90,0,0,Kerosene,No,139.92152,4,Long Power Cuts,"['May', 'April', 'September']","['Machines/appliances were damaged', 'Children could not study']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,459,Grid,No,Diesel,Rarely available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,3,5,0
Penny Camano,Village 2,6907,5,Yes,Already Connected,3,5,10,0,10,10,20,90,0,0,Kerosene,Yes,139.92152,4,Fluctuations,"['April', 'February', 'November']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Maintenance/service problems']",Monthly,Pre-paid meter card seller,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1617,Shop,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,140,4.2,1,0,4,3,5,5,5,0
Joan Hohlstein,Village 2,12494,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,More than a year,1747,839,Already using,Yes,Lighting,1532,Shop,No,Biogas,Sometimes available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Scott Peak,Village 1,4742,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Fluctuations,"['January', 'November', 'September']","['Could not operate a household business', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Landlord,Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,5,1
Devora Smith,Village 1,13867,7,No,Can't afford electricity bill,22,7,30,0,20,100,80,540,440,0,Kerosene,No,322.75028,8,Fluctuations,"['April', 'March', 'June']","['Children could not study', 'Could not operate a household business']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Online,No,Yes,Already using,More than a year,2097,968,Already using,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,Initial investment is high,1210,36.3,3,4,4,3,5,3,5,3
Donnie Sulla,Village 4,6271,5,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,20,Fluctuations,"['January', 'May', 'April']","['Machines/appliances were damaged', 'Could not cook']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,Landlord,Online,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1086,Grid,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,275,8.25,2,2,3,3,2,5,3,2
James Thornton,Village 1,3788,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Kerosene,Always available,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Rufus Boutwell,Village 4,3511,3,No,Connection cost is very high,5,4,15,10,0,20,40,0,0,0,Kerosene,No,130.52378,20,No Problem,"['June', 'December', 'January']","['Could not operate a household business', 'Could not charge a phone']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,No one (for free),Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,820,Grid,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,3,3,1
Anne Lorber,Village 1,13619,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,No Problem,"['May', 'March', 'September']","['Could not cook', 'Children could not study']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Weekly,Community/village/municipality,Online,Yes,Yes,Already using,6-12 months,2359,1165,Already using,No,NA,NA,NA,No,Biogas,Always available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,5,5,5,3,3
Andrea Mccarthy,Village 3,9932,4,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,Electrical applicances getting affected,"['June', 'May', 'August']","['Could not cook', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,536,Grid,No,Diesel,Rarely available,4,42,10,Initial investment is high,275,8.25,2,2,3,3,5,5,3,2
William Owens,Village 1,8000,4,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Biogas,Always available,4,42,10,No subsidies are provided,0,0,0,0,5,3,5,5,3,0
Franklin Barlow,Village 2,6908,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,Long Power Cuts,"['March', 'December', 'January']","['Machines/appliances were damaged', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Community/village/municipality,Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1423,Shop,No,Diesel,Rarely available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,5,3,0
Catherine Hayward,Village 3,12201,8,Yes,Already Connected,4,9,15,0,40,40,40,180,220,520,Kerosene,Yes,296.26574,16,No Problem,"['April', 'September', 'June']","['Machines/appliances were damaged', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Weekly,Pre-paid meter card seller,Online,No,Yes,Already using,6-12 months,904,1333,Already using,Yes,Lighting,962,Solar,No,Kerosene,Rarely available,4,42,10,No subsidies are provided,1055,31.65,3,2,3,5,5,5,5,2
John Waddell,Village 4,5559,4,Yes,Already Connected,5,5,15,0,20,20,40,180,0,0,LPG,Yes,162.9887,20,Electrical applicances getting affected,"['May', 'March', 'April']","['Children could not study', 'Could not charge a phone']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1121,Shop,Yes,NA,NA,4,42,10,Initial investment is high,275,8.25,2,2,3,3,2,5,3,2
Melissa Hines,Village 2,9303,6,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,LPG,Yes,160.42568,4,No Problem,"['December', 'April', 'January']","['Could not cook', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Weekly,Landlord,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1007,Grid,No,Kerosene,Always available,4,42,10,No subsidies are provided,260,7.8,2,0,4,5,5,5,5,0
Gloria Badillo,Village 3,4271,2,No,Connection cost is very high,4,3,15,10,0,20,0,0,0,0,Kerosene,No,123.68906,16,Fluctuations,"['September', 'August', 'January']","['Children could not study', 'Could not cook']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,No one (for free),Pay at the utility office,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1761,Grid,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,3,2,3,3,1
Kelli Knutson,Village 2,3994,2,No,Can't afford electricity bill,3,3,10,5,0,10,0,0,0,0,LPG,No,113.2516,4,Electrical applicances getting affected,"['May', 'April', 'June']","['Could not operate a household business', 'Could not charge a phone']","['Unexpectedly high bills', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Online,Yes,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1073,Grid,Yes,NA,NA,4,42,10,Low income,25,0.75,1,0,4,3,2,3,3,0
Thomas Bibbins,Village 4,4994,2,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Appliances,1054,Shop,Yes,NA,NA,4,42,10,Low income,0,0,0,0,5,3,2,5,3,0
Donna Medez,Village 3,4155,3,Yes,Already Connected,4,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,16,No Problem,"['November', 'March', 'August']","['Machines/appliances were damaged', 'Could not operate a household business']","['Supply shortage/not enough hours of electricity', 'Unexpectedly high bills']",Monthly,Pre-paid meter card seller,Online,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1971,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,3,1
Elizabeth Collins,Village 1,10242,8,No,Can't afford electricity bill,22,9,30,0,40,100,80,540,440,2860,LPG,No,1292.36176,8,Fluctuations,"['February', 'January', 'November']","['Children could not study', 'Could not charge a phone']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Rarely available,4,42,10,No subsidies are provided,4090,122.7,4,4,4,3,5,3,5,3
David Dieguez,Village 2,8262,6,No,Connection cost is very high,3,7,10,0,10,20,20,90,110,0,Kerosene,No,160.42568,4,Fluctuations,"['June', 'August', 'January']","['Could not operate a household business', 'Children could not study']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,No one (for free),Cash,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1008,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,260,7.8,2,0,4,3,5,3,5,0
Charles Hardee,Village 2,11636,7,Yes,Already Connected,3,7,10,0,10,20,20,90,110,0,Kerosene,Yes,160.42568,4,Long Power Cuts,"['October', 'May', 'December']","['Machines/appliances were damaged', 'Could not cook']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,Landlord,Pay at the utility office,No,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,1275,Shop,No,Biogas,Sometimes available,4,42,10,No subsidies are provided,260,7.8,2,0,4,3,5,5,5,0
Amanda Brown,Village 4,4261,3,Yes,Already Connected,5,4,15,10,0,20,40,0,0,0,LPG,Yes,130.52378,20,No Problem,"['August', 'October', 'February']","['Could not cook', 'Could not charge a phone']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Landlord,Cash,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1817,Shop,Yes,NA,NA,4,42,10,Low income,85,2.55,1,2,3,5,2,5,5,1
Judy Kightlinger,Village 1,3313,2,No,Can't afford electricity bill,22,3,30,10,0,50,0,0,0,0,Kerosene,No,131.37812,8,Fluctuations,"['May', 'April', 'January']","['Could not operate a household business', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Low/high voltage problems or voltage fluctuations']",Weekly,No one (for free),Online,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Low income,90,2.7,1,4,4,3,2,3,5,1
Vicki Williams,Village 3,6537,5,Yes,Already Connected,4,5,15,0,20,20,40,180,0,0,Kerosene,Yes,162.9887,16,No Problem,"['October', 'February', 'January']","['Children could not study', 'Could not cook']","['Maintenance/service problems', 'Supply shortage/not enough hours of electricity']",Monthly,Landlord,Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Appliances,1840,Grid,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,275,8.25,2,2,3,5,5,5,5,2
George Amos,Village 1,14284,8,No,No grid near by,0,0,0,0,0,0,0,0,0,0,Kerosene,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Yes,Already using,More than a year,857,536,Already using,Yes,NA,NA,Shop,No,Biogas,Rarely available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
Margaret Henkel,Village 1,11270,7,Yes,Already Connected,22,7,30,0,20,100,80,540,440,0,LPG,Yes,322.75028,8,Fluctuations,"['June', 'September', 'August']","['Children could not study', 'Machines/appliances were damaged']","['Low/high voltage problems or voltage fluctuations', 'Unexpectedly high bills']",Weekly,Landlord,Pay at the utility office,Yes,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,No subsidies are provided,1210,36.3,3,4,4,3,5,5,3,3
Alan Barrera,Village 1,11846,8,No,Can't afford electricity bill,22,9,30,0,40,100,80,540,440,2860,LPG,No,1292.36176,8,Electrical applicances getting affected,"['March', 'December', 'February']","['Machines/appliances were damaged', 'Could not cook']","['Supply shortage/not enough hours of electricity', 'Maintenance/service problems']",Monthly,No one (for free),Online,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Always available,4,42,10,Initial investment is high,4090,122.7,4,4,4,3,5,3,5,3
Hillary Terry,Village 4,9278,6,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,Kerosene,No,203.99702,20,Fluctuations,"['April', 'September', 'January']","['Children could not study', 'Machines/appliances were damaged']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,No one (for free),Cash,Yes,No,Low income,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1055,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,3,2
Sherry Myers,Village 3,3891,2,Yes,Already Connected,4,3,15,10,0,20,0,0,0,0,Kerosene,Yes,123.68906,16,No Problem,"['January', 'August', 'March']","['Children could not study', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,Yes,Yes,Lighting,1127,Shop,Yes,NA,NA,4,42,10,Low income,45,1.35,1,2,3,5,2,5,5,1
Charles Caylor,Village 2,6286,5,No,Connection cost is very high,3,5,10,0,10,10,20,90,0,0,Kerosene,No,139.92152,4,No Problem,"['December', 'October', 'March']","['Children could not study', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Maintenance/service problems']",Monthly,No one (for free),Pay at the utility office,No,No,No subsidies are provided,Never Used,Never Purchased,Never installed,No,Yes,Appliances,665,Shop,No,Diesel,Sometimes available,4,42,10,Initial investment is high,140,4.2,1,0,4,5,5,3,5,0
Steven Reibert,Village 1,4541,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,LPG,Yes,145.04756,8,Electrical applicances getting affected,"['April', 'January', 'February']","['Could not charge a phone', 'Machines/appliances were damaged']","['Unexpectedly high bills', 'Supply shortage/not enough hours of electricity']",Monthly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,No,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Low income,170,5.1,1,4,4,3,2,5,5,1
Katie Benton,Village 1,9603,6,No,No grid near by,0,0,0,0,0,0,0,0,0,0,LPG,No,0,0,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,Not connected to grid,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,Yes,NA,NA,Shop,No,Kerosene,Always available,4,42,10,Initial investment is high,0,0,0,0,5,3,5,5,3,0
James Satterthwaite,Village 1,9878,5,Yes,Already Connected,22,5,30,0,20,50,80,540,0,0,Kerosene,Yes,239.02496,8,Fluctuations,"['February', 'January', 'November']","['Could not cook', 'Could not charge a phone']","['Low/high voltage problems or voltage fluctuations', 'Supply shortage/not enough hours of electricity']",Weekly,Pre-paid meter card seller,Cash,No,No,Low income,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Diesel,Sometimes available,4,42,10,Initial investment is high,720,21.6,2,4,4,3,5,5,5,2
Beth Brannon,Village 1,4966,3,Yes,Already Connected,22,4,30,10,0,50,80,0,0,0,Kerosene,Yes,145.04756,8,No Problem,"['October', 'August', 'September']","['Could not cook', 'Could not operate a household business']","['Maintenance/service problems', 'Low/high voltage problems or voltage fluctuations']",Monthly,Community/village/municipality,Pay at the utility office,No,No,Initial investment is high,Never Used,Never Purchased,Never installed,Yes,No,NA,NA,NA,No,Biogas,Always available,4,42,10,Low income,170,5.1,1,4,4,5,2,5,5,1
Susan Watson,Village 4,7935,6,No,Can't afford electricity bill,5,7,15,0,20,40,40,180,220,0,LPG,No,203.99702,20,Long Power Cuts,"['October', 'March', 'December']","['Machines/appliances were damaged', 'Children could not study']","['Maintenance/service problems', 'Unexpectedly high bills']",Monthly,No one (for free),Pay at the utility office,Yes,No,Low income,Never Used,Never Purchased,Never installed,No,Yes,Lighting,946,Grid,No,Kerosene,Rarely available,4,42,10,Initial investment is high,515,15.45,2,2,3,3,5,3,3,2
